Current (A),Battery Voltage (V),Accel X (m_s2),Accel Y (m_s2),Accel Z (m_s2),Gyro H (deg),Gyro R (deg),Gyro P (deg),Latitude,Longitude,GPS Status
8.31,19.39,326.89,-0.07,9.57,0.0,-4.81,-0.31,20.735,-103.4547,A
8.24,19.48,326.86,-0.07,9.57,0.0,2035.19,-0.31,20.735,-103.4547,A
8.3,19.26,-0.82,-0.05,9.59,0.0,-12.81,-0.31,20.735,-103.4547,A
8.27,19.41,-0.78,-0.07,9.57,0.0,-4.81,-0.31,20.735,-103.4547,A
8.3,19.5,326.87,-0.06,9.58,0.0,-4.81,-0.31,20.735,-103.4547,A
8.3,19.27,-0.81,-0.05,9.61,0.0,2043.19,-0.31,20.735,-103.4547,A
8.29,19.42,-0.79,-0.06,9.58,0.0,-4.81,-0.31,20.735,-103.4547,A
8.28,19.46,-0.79,-0.06,9.55,0.0,-4.81,-0.31,20.735,-103.4547,A
8.29,19.3,326.86,-0.07,9.56,0.0,-4.81,-0.31,20.735,-103.4547,A
8.29,19.39,-0.81,-0.06,9.57,0.0,2035.19,-0.31,20.7368,-103.4546,A
8.29,19.45,-0.82,-0.05,9.58,0.0,-4.81,-0.31,20.7368,-103.4546,A
8.31,19.3,-0.71,-0.09,9.55,0.0,2043.5,-0.44,20.7368,-103.4546,A
8.27,19.38,-0.73,-0.08,9.6,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.2,19.5,326.93,-0.08,9.57,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.32,19.3,326.91,-0.09,9.58,0.0,2035.5,-0.44,20.7368,-13.4546,A
8.28,19.39,-0.73,-0.07,9.55,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.27,19.45,-0.73,-0.1,9.58,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.25,19.31,326.91,-0.09,9.59,0.0,-4.5,-0.44,20.7368,-13.4546,A
8.31,19.38,326.91,-0.1,9.58,0.0,-12.5,-0.44,20.7368,-13.4546,A
8.25,19.45,326.94,-0.09,9.59,0.0,-12.5,-0.44,20.7368,-13.4546,A
